Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,2,1.3,0.00797598045398186,0.007976,1294.441548,0.01,0
2,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,2,1.5,0.00802541507285231,0.008025,1294.441548,0.01,0
3,bothSites,204,hexagonal,12,17,L2norm,noPCA,1000,0.05,0.01,2,1.4,0.00840219116563815,0.008402,1199.246307,0.01,0
4,bothSites,221,hexagonal,13,17,L2norm,noPCA,1000,0.05,0.01,2,1.3,0.00735155451643327,0.007352,1278.239354,0.01,0
5,bothSites,198,hexagonal,11,18,L2norm,noPCA,1000,0.05,0.01,2,1.6,0.0084755292338028,0.008476,1294.441548,0.01,0
6,bothSites,216,hexagonal,12,18,L2norm,noPCA,1000,0.05,0.01,2,1.5,0.00749501851796961,0.007495,725.303624,0.01,0
7,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,3,1.3,0.00795950524020827,0.00796,938.244436,0.01,0
8,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,3,1.5,0.00812894079033674,0.008129,950.471538,0.01,0
9,bothSites,204,hexagonal,12,17,L2norm,noPCA,1000,0.05,0.01,3,1.4,0.00782044836317889,0.00782,1876.036153,0.01,0
10,bothSites,221,hexagonal,13,17,L2norm,noPCA,1000,0.05,0.01,3,1.3,0.00742209079955909,0.007422,938.244436,0.01,0
11,bothSites,198,hexagonal,11,18,L2norm,noPCA,1000,0.05,0.01,3,1.6,0.0080498523053085,0.00805,938.244436,0.01,0
12,bothSites,216,hexagonal,12,18,L2norm,noPCA,1000,0.05,0.01,3,1.5,0.00807005131535623,0.00807,915.033353,0.01,0
13,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,4,1.3,0.00829871567571147,0.008299,1492.680264,0.01,0
14,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,4,1.5,0.00842918046858477,0.008429,1592.071297,0.01,0
15,bothSites,204,hexagonal,12,17,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.00853108645933387,0.008531,698.854902,0.01,0
16,bothSites,221,hexagonal,13,17,L2norm,noPCA,1000,0.05,0.01,4,1.3,0.00726212906278725,0.007262,1099.033039,0.01,0
17,bothSites,198,hexagonal,11,18,L2norm,noPCA,1000,0.05,0.01,4,1.6,0.00813803386670668,0.008138,1800.860046,0.01,0
18,bothSites,216,hexagonal,12,18,L2norm,noPCA,1000,0.05,0.01,4,1.5,0.00746934136832609,0.007469,2035.353211,0.01,0
19,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,5,1.3,0.0082091483940918,0.008209,2051.446709,0.01,0
20,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,5,1.5,0.00856741091718948,0.008567,1700.371386,0.01,0
21,bothSites,204,hexagonal,12,17,L2norm,noPCA,1000,0.05,0.01,5,1.4,0.00776242632422166,0.007762,1436.635189,0.01,0
22,bothSites,221,hexagonal,13,17,L2norm,noPCA,1000,0.05,0.01,5,1.3,0.0073203049667045,0.00732,1770.443339,0.01,0
23,bothSites,198,hexagonal,11,18,L2norm,noPCA,1000,0.05,0.01,5,1.6,0.00756144414703317,0.007561,1715.492827,0.01,0
24,bothSites,216,hexagonal,12,18,L2norm,noPCA,1000,0.05,0.01,5,1.5,0.00770326306571969,0.007703,1807.12862,0.01,0
